Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,56,Belgium,BEL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,5078300,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,100,Bulgaria,BGR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,579525,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,156,China,CHN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,338601,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,196,Cyprus,CYP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,137631663,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,233,Estonia,EST,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,20855,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,251,France,FRA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,3997668,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,276,Germany,DEU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2993924,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,300,Greece,GRC,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,257833388,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,381,Italy,ITA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,608173896,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,392,Japan,JPN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,328785,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,400,Jordan,JOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,64438,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,410,Rep. of Korea,KOR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1472217,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,428,Latvia,LVA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,52366,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,440,Lithuania,LTU,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1296849,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,458,Malaysia,MYS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,3891,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,470,Malta,MLT,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,38792,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,512,Oman,OMN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,166183,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,528,Netherlands,NLD,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,26048126,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,616,Poland,POL,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,27279,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,643,Russian Federation,RUS,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,1055875,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,699,India,IND,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,299702,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,705,Slovenia,SVN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,24000,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,710,South Africa,ZAF,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,87404,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,724,Spain,ESP,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,10144251,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,757,Switzerland,CHE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,18149,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,784,United Arab Emirates,ARE,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,12625575,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,788,Tunisia,TUN,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,129103,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,792,Turkey,TUR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,4503920,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,804,Ukraine,UKR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,103386,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,818,Egypt,EGY,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,2523175,,,4
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,826,United Kingdom,GBR,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,230355,,,0
H2,2016,2016,2016,2,0,1,Import,434,Libya,LBY,842,USA,USA,,,,,,,,27,"Mineral fuels, mineral oils and products of their distillation",1,No Quantity,0,,,,0,,16688015,,,0
